City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Petauke,ZM,2022-06-21 04:00:03,-14.2426,31.3253,53.31,90,1,11.45
258,Carnarvon,AU,2022-06-21 04:00:04,-24.8667,113.6333,74.05,41,0,10.92
259,Kandi,BJ,2022-06-21 04:00:06,11.1342,2.9386,73.67,91,91,6.15
260,Karacakoy,TR,2022-06-21 04:00:21,41.4029,28.3834,67.68,87,64,7.54
261,Port Blair,IN,2022-06-21 03:59:10,11.6667,92.75,86.04,74,75,9.22
262,Sylva,RU,2022-06-21 03:56:43,58.0348,56.7635,56.57,97,99,8.16
263,The Valley,AI,2022-06-21 04:00:39,18.217,-63.0578,81.82,71,0,12.03
264,Ribeira Brava,PT,2022-06-21 04:00:51,32.65,-17.0667,66.7,68,48,6.33
265,Florestopolis,BR,2022-06-21 04:01:03,-22.8633,-51.3872,59.81,95,0,6.08
266,Marsh Harbour,BS,2022-06-21 04:00:17,26.5412,-77.0636,79.9,72,15,13.44
267,Alto Araguaia,BR,2022-06-21 04:01:17,-17.3147,-53.2153,67.08,55,3,3.04
268,Vila Franca Do Campo,PT,2022-06-21 03:57:54,37.7167,-25.4333,66.2,90,81,7.18
269,Bardiyah,LY,2022-06-21 04:01:23,31.7561,25.0865,71.62,71,0,8.21
270,Dwarka,IN,2022-06-21 04:01:24,22.2394,68.9678,85.84,72,15,21.16
271,Jumla,NP,2022-06-21 04:01:24,29.2747,82.1838,71.08,47,39,4.18
272,Podgornoye,RU,2022-06-21 04:01:25,51.735,39.1496,70.02,68,0,0.0
273,Suez,EG,2022-06-21 04:01:20,29.9737,32.5263,69.62,78,0,4.79
274,Praia Da Vitoria,PT,2022-06-21 04:01:27,38.7333,-27.0667,64.76,87,85,17.94
275,Makat,KZ,2022-06-21 04:01:28,47.6469,53.3463,85.14,28,0,13.56
276,Upington,ZA,2022-06-21 04:01:29,-28.4478,21.2561,53.98,84,100,3.89
277,Souillac,MU,2022-06-21 04:01:30,-20.5167,57.5167,70.18,56,20,8.05
278,Meybod,IR,2022-06-21 04:01:30,32.2501,54.0166,80.62,20,0,7.27
279,Oyugis,KE,2022-06-21 04:01:31,-0.509,34.7358,57.61,85,91,5.46
280,Trujillo,PE,2022-06-21 04:02:31,-8.116,-79.03,62.74,87,45,6.87
281,Santa Catalina,PH,2022-06-21 04:02:32,9.3337,122.8637,81.68,79,100,3.29
282,General Roca,AR,2022-06-21 04:02:32,-39.0333,-67.5833,42.62,38,100,16.15
283,Akureyri,IS,2022-06-21 04:02:33,65.6835,-18.0878,47.66,81,32,4.59
284,Humaita,BR,2022-06-21 04:02:34,-7.5061,-63.0208,75.7,70,85,0.94
285,Muscat,OM,2022-06-21 03:57:42,23.6139,58.5922,97.86,43,7,4.92
286,Inirida,CO,2022-06-21 04:02:34,3.8653,-67.9239,69.96,99,99,1.23
287,Achit,RU,2022-06-21 04:02:35,56.7985,57.8994,51.01,98,100,11.45
288,Grindavik,IS,2022-06-21 04:02:35,63.8424,-22.4338,41.47,100,75,2.3
289,Bathsheba,BB,2022-06-21 04:02:36,13.2167,-59.5167,79.03,84,84,16.04
290,Priekule,LV,2022-06-21 04:02:37,56.4468,21.5897,52.92,97,100,5.93
